,video_id,comments
11,LPNMGgu0wt0,"['📷INSTAGRAM  - @happyprince_23_\r\nhttps://www.instagram.com/happyprince_23_/', 'And after doing this coffee lelo coffee 10 rupee cup 😂', 'Abe ye to balak hai abhi', 'Looks🔥🔥', '\U0001faf0\U0001f979🥺🔥🔥🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥💍💍🕊️', 'You are our acting boy', 'Khatarnak edition', 'Décimo sexto vídeo com essa musica seguido', 'Op', 'Aap surat se ho \nMai bhi surat se hu']"
12,4wCPqVnjucg,"['New Reel Dali h Guys Jake Pyar dikhao🥰\nhttps://www.instagram.com/happyprince_23_/\n📷INSTAGRAM  - @happyprince_23_', 'Bhai uid free fire max  uid 6489930455', '5974677109 bhai id may kabhie topup nahie kia pakistani server kie id hai bhai may ap kie har video deakh ta hone prince bhai', 'Mujhe ek Hip Hop bundle de do my uid2288898571', 'Bhai mujhe diamond2089961350 yah Mera ID number hai bhai main tumhara subscriber hai mujhe free mein diamond de do Bhai', '4851057myid', '2020766264', '7124950481', 'Please support Prabhat Bhai', 'Happy parince kisi ho bhai apki bhot acahe SUBECAR ho bhai']"
13,RSm5sJWEyVQ,"['📷INSTAGRAM  - @happyprince_23_\r\nhttps://www.instagram.com/happyprince_23_/', 'Happy Prince bhai mere ID Mein please cobra bandal nikal dena Har Bar Main message karta hun lekin aap message padhte hi nahin Ho please meri ID Mein Cobra bandal nikal Dena Sar ji please', 'Happy Prince bhai 2023 a chuka hai aur Gora Bandar return Aane Wala Hai To Agar Cobra wonder return a Gaya tabhi main Instagram Mein apna id password de dunga nikal Dena Cobra', 'Prince bhai Ham aapka video do Sal se dekh rahe hain aapka subscribe Karen 2023 a chuka hai Cobra bandal Aane Wala Hai cobra bandal nikal do Mere ID mein ko Happy Prince bhai Agar nikal Diya Cobra bandal to main apna papa ke phone se bhej channel ko subscribe kar dunga Aapka Channel ko please Mere ID Mein Cobra bandal nikal do Sar ji', 'Bhai mujecobra bundle dedoplz😢😢😢😢😢😢😭😭😭😭😭😭😭', '😭😭😭', 'Hip Hop nikalenga bro', 'hiphop', 'Sakura', 'Freefirehipoip10000000dimeman']"
14,bxxdte6mWLc,"['📷INSTAGRAM  - @happyprince_23_\r\nhttps://www.instagram.com/happyprince_23_/', '8263886055\nDeepak', 'Pili tumara pent gele', 'Season 2', 'Season 1', 'Veiws kam he bhai', 'season 1 super rare', '🤣🤣🤣🤣🤣', 'Season 2 Lelo', 'Season 2 and the 1']"
15,ynIxOb_bV6A,"['3127141358', ""Yar mare bi I'd par par top up kar do please me I'd 2689903478"", 'Me bangla desh sharbar she hu mera uid 3090192911', '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'Bhai top up kar do', ""Happy price Bhai Mera friend request Lelo U I'd 3245471564"", 'Free fire UID2512224378 please diamond minus  recover happy Prince gaming please ID recover please', 'Op video bro bhai instgram par reply do', 'Hi', '♥️♥️♥️😍🥺🥺❤️❤️❤️❤️😍🥺♥️🥺🥺♥️😍🥺🥰🥰🥰😈👿👿🥰😝😝😔♥️😘🥺😍😱❤️🙏💔💔💔❤️❤️😔🥺🥺😍💔🥺💔🥺💔🥺💔🥺']"
16,dXQ3JPkM1_8,"['Bhai apne gali di hai pls aage mat dena', 'Kaise', 'Tum to free fire khalta ho uper likha hai right side ma', '1:45', 'Sigma battle gameroyal', 'Ff ki rating girana ka lya video bnao', '🤗Prince bhai😊 BGMI khelo na please😐', 'Sigma game khelo free fire jaisa hai', 'Sale chapri', 'Hlo bro gun of booms start kro game']"
17,jp_AlUHBpWw,"['Padu boy gaming', 'Kuta', 'Kkkkkkkkk', 'Yoar name tatti', 'Bhai raistar nahi aaya', 'Gu 💩💩💩💩💩😂😂😂🤣🤣🤣🤣', 'Bakalol', 'App ka name happy bhikadi', 'हेलो प्लीज मुझको डीजे लोकगीत', 'Bai meri id me Las espin baki he  bai pils nekal do evo gan bai pils ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️  pils ❤️ pils']"
18,puDUn2a8v0o,"['Mera sat custom khela ga uid 6991120514', 'Jio share', 'ID mein 10000 diamond top up', '6:10 abhi dekra mai teri fan hai', 'LOVE FROM GUJARAT ❤️😘', 'Bunny is RABIT kid', 'Nait', '9:17', 'Kya noobdo ke sath khel rha bro', '6:12 kyaaa masttt funny tha']"
19,ZGWBEa_fNFI,"['😂😂😂😂😂😂😂', 'Hello bhai mujhe mujhe Street boy bundle gift karke de bhai mujhe yah wali UID per 3092363494', 'Please 🥺 bhai halp me', 'Bhai meri ID ka Naam DJ:भैया hai', 'Pk Haryanvi 44', '🤣🤣🤣🤣🤣🤣🤣😅😅😅😅😅😅😅', 'Face Scam Kero Video Ma', '#mahrajgamer', 'Aapka subscriber ID ko hack kar liya hai aap please', 'happy Prince mujhe 2000 hajar diamond kar do']"
20,sYchDPfmeKI,"['Full Video - https://youtu.be/OmMZu7oRYL0', 'Sigma', 'Sigma Fire', 'Sigma ff', 'Bhai is game real game hai Sigma ff lite nhi phone hack ho fata hai', '1899312251uid', 'Sigma', 'Sigma game he', 'Sigma game name', 'Game ka naam*Sigma* hai']"
21,OmMZu7oRYL0,"['Free fire Lite kalank bhejo', 'Free fire he inda ka game ha', 'Bhai game ka nam sigma hai mujhe pta hai', 'Are bhaiya aap please Naam batao na', 'Please vi open solution batao please', 'Free fire light Kahan se download kiya jata hai bataiye', 'Bhai please mera ID me diamond da do na mera id-burp109 ha', 'Mujhe iss game ka name pata hai par me nahi bataunga kyu ki ye game aapka personal data churata hai aur toh aur virus dalta hai aur play store pe bhi available hai mene dekha tha lekin install nahi kiya', 'It is sigma ff 😂😂😂😂😂😂', 'Aapane Kahan se Kiya download']"
22,qKcYxking7M,"['happy Prince gaming  07', 'Abe gadhe game', 'Op bro', '😃😃🤣🤣🤣🤣', '5000 Ka diamond top up Karke do please ❤️❤️❤️❤️ mere 5118753508 FF iD mein', '5118753508 Mera FF iD please mujhe ID mein top up Karke do please,', 'Tum cal se sarva mein game khelte 🙏🏽🙏🏽❤️❤️ Please beta do', 'Bhai 1k subscribe kardo', '🤣🤣🤣🤣🤣😂😂😂😂😂😂😂🤣🤣🤣🤣😆😆😆😆😆😆', '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️👍👍👍👍']"
23,Y7X_JHz-bRk,"['Bhai ap shivansh ke bhai hai', 'Prince bhai mera ye bundle maX kr do please id 2449861427', 'Big fan bhai', 'हाय मुझे हिमांशु डिश वाला आईडी दे दो भाई', 'viswanath', '8851347995', 'https://youtube.com/@ffAnamrai', 'Your. Brother Name', 'Bhai 1k subscribe kardo', '😄😄😂😂🤣']"
24,HpL4yerXfyQ,"['3867618010', 'Happy Prince bro yaar de do na hi problem please bro de do yaar Hip Hop bandal mere ko nikalna happy Prince bro main aapko pata nahin Kahan kahan kar diya comment message aap yah message jarur dekho3162585200', '4765911083', 'Bhai Mara id ko pro banado', 'Happy Prince bhai mey Aapka fyan Aapke sat kastm khelna chahta hu mey apni u id derha hu 3616829131 mey Aapapr bharosa kararha hu', 'Yes bhai brooo🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', ""Bhai mairi I'd main bandal nikalbo please"", 'Bhai meri bhi ID Mein top off kar dena main ID ka password de raha hun अच्छे-अच्छे bandal nikal dena Pandal aur remote nikal dena remote nikal dena Facebook ka password. ChhoT@.bhai', 'Abeeeeeee 🤔🤔 bicari', 'Bro please top up in my account']"
25,548uuaFIwRo,"['id hai', 'Papa ge', 'Hello bhai mere ko please Thode Se Diamond De Du Mein Apni id de raha hun aapko', 'UiD 3371928023', '3371928023', '""Riya dekho mera kitna bada hai shotgun""💀', 'Hii happy prince mujhe uid do', '🤣🤣🤣🤣🤣🤣', 'https://youtube.com/@ffAnamrai', 'Ye to Rai bhai hain 😂😂']"
26,cF6cez3GbtI,"['1:54 😂😂😂😂😂😂😂', 'https://youtu.be/8aJIpPW3tgQ', 'MAA KO PYAR KRTE HO TO LIKE KARO', 'MahuINDEASA', '2:20 😂 ғᴀɴᴋʜᴀ ᴋɪsɴᴇ ʟᴀɢᴀʏᴀ', 'Happy me uid 3431407548', 'Bhai apka faice bohot atsa he', 'Bro aap🥺 bohot mahanat karte ho thank you for happy prince thank you 🙏🙏❤', 'Bhai main aapka bahut bada fan hun aaj se lagbhag 2 sal pahle main aapka video dekha Karta tha taab Mera tab kharab ho gaya jab 2 mahine bad main ek 18000 ka Vivo ka mobile liya taab 1 sal beet Gaye Aaj 26 tarikh 11 mahina 2022 hai aaj main mobile lekar short video dekh raha tha tab ek video Gyan Sujan ka aaya aapka awaaz use video mein tha taab aapka awaaz main suna to mujhe laga main to yah awaaz nahin Suna hun tab main Gyan Sujan bhai ka channel per Gaya uske bad video 2 sal pahle ka dhundhne Laga tabhi aapka video aaya happy Prince tabhi main bag aaya aur abhi aapka channel subscribe Kiya mujhe pata nahin tha aapka YouTube channel ka naam', 'Hi']"
27,SbbwHrcnOSk,"['His voice is like a angel', 'https://www.youtube.com/@kishanbhai6679', 'Hi pris Bhai me aapka 2018 se fan hu plizz riplay Bo aor AAp 2018 me alok give par vibyo banate the tabse plizz Mera chenal pramot kardo plizz 😭😭😭😭😭😭', 'Op prince🥰🥰🥰🥰', 'Mae appse kitne umead rakha tha par app Mari kabhi', 'abdulhalil', 'https://youtube.com/@ffAnamrai', 'Video full link dedo bhai,share krunta', '😄😄😄😄', 'हैप्पी प्रिंस भाई कस्टम कष्ट में आओ ना हमें दो बंदे बहुत लुब्रिकेटर']"
28,kH-wPhCpDUQ,"['Prince tatti', 'Bhai 1k subscribe kardo', 'Kitna funy he ye prince', '😭😭😭😭😭😭😭😭😭😭😭😭😭😭💎💎💎💎💎💎💎💎💎💎💎💎', 'Nise video ❤️❤️❤️❤️❤️', 'Please  help  birthday  he mobile  gift dedo 🎁🎁🎀🎀😭😭😭😭🙏🙏🙏🙏', 'Bhai mara sath 1 v 1 kar lo', 'Nood', 'Hay', 'https://www.youtube.com/@user-ow7kt6vq4e']"
29,qgk4RwL1AvI,"['1vs1', 'Pg', '😂😂😂😂😂😅😅', 'Nise video ❤️❤️❤️❤️❤️', '❤️❤️❤️❤️❤️❤️❤️3867618010🙏🙏🙏🙏', 'https://www.youtube.com/@user-ow7kt6vq4e', 'please  mara shat be khalo', 'Op movement', 'Noob', 'Happy. Prince. Op']"
30,IdTn_Inn85o,"['Bhai hum to jaa rehe  hai tum ne bata to diya', 'Happy Prince my best friend ❤️❤️❤️❤️🙏🙏🙏3867618010', 'Plz dedo', 'https://youtube.com/shorts/FP9dA6HMHEA?feature=share\nPlease saport karo 😞🙏', 'https://youtu.be/8aJIpPW3tgQ', 'जो अपने माता पिता से प्यार करता है वही इस चैनल को सब्सक्राइब करें\nhttps://youtube.com/@ddrudeff', 'Bhai Mari l lig giya', ""Happy Prince face'reveal video karo"", 'your viedo is very very beautiful', 'Bhai Diamond de do My UID 2593201321']"
31,waDeexhUs6A,"['❤️❤️❤️', 'जो जो अपने माता पिता से प्यार करता है वही सब्सक्राइब करें\nhttps://youtu.be/orbEOWySBdk', 'We need to get ready to go to bed with Colorado rapids by', 'https://youtube.com/channel/UCrMlHx3qc7UOHQYJW92eB1A', 'Hlw bhaiya big fan.  mujhe pls English uniform bundle and rabbit hate dedo aur Koch nehi chahiye 😭 😭😭\nAj se kaha se bhi ek bhi gift nehi mila 😭😭😭\nUID--5576128748', '💩💩💩💩💀☠☠☠☠☠☠😠😠😠😡😡😡😡😡😩👺☹☹😤😤😤😤🤕🤕🤕🤕🙉🙉🙉🙉😹😹😹', 'So funny 😂😂🤣🤣🤣', 'Kitna hasate ho yaar', 'Prince bhei place give me a Dimond', '6313260383 big fan bro Dimond delo']"
32,vuVz9AzaP6c,"['Ma   tha', 'op', 'Please support me 😭😭', 'Nise video ❤️❤️❤️❤️❤️', 'Happy please bhai mere admit ko kar do 3867618010❤️❤️❤️', 'mene 19 dimond me nikaala dragon', 'I am YouTube', 'SSI market dekh liya customer banaa le', 'No', 'Hf']"
